Date,Day,Activity Name,Activity Type,Frequency,Tracking Type,Target,Difficulty,Action Today,Value/Completions Today,Status After Action,Expected Status Next Day,Should Reset Tomorrow,Notes
2025-11-23,Sun,Monthly Budget Review,Habit,Monthly,Count,1,Medium,No Action,1,Done,Done,No - Monthly,Still Nov - stays Done
2025-11-23,Sun,Weekly Running,Habit,Weekly,Value,20 km,Hard,Log Value,5,Done,To Do,No - Weekly,Now 20km - COMPLETE!
2025-11-23,Sun,Meditation Challenge,Habit,Daily,Count,1,Easy,USER ARCHIVES HABIT,-,Archived,-,No - Archived,"USER ARCHIVES: Don't want to continue challenge. Habit paused."
2025-11-23,Sun,Finish Report,Task,One-Time,-,-,Medium,Complete,100%,Done,Done,No,Task completed manually
2025-11-24,Mon,Daily Steps,Habit,Daily,Value,10000 steps,Medium,SYSTEM RESET,0,To Do,To Do,Yes - Daily,NEW WEEK - yesterday's partial logged
2025-11-24,Mon,Morning Exercise,Habit,Daily,Count,1,Easy,SYSTEM RESET,0,To Do,To Do,Yes - Daily,Yesterday was MISSED
2025-11-24,Mon,Drink 8 Glasses Water,Habit,Daily,Count,8,Easy,SYSTEM RESET,0,To Do,To Do,Yes - Daily,Yesterday was MISSED
2025-11-24,Mon,Weekly Gym Session,Habit,Weekly,Count,3,Hard,WEEKLY RESET,0,To Do,To Do,No - Weekly,NEW WEEK! Last week logged as COMPLETE
2025-11-24,Mon,Call Family Weekly,Habit,Weekly,Count,1,Easy,WEEKLY RESET,0,To Do,To Do,No - Weekly,NEW WEEK! Last week logged as COMPLETE
2025-11-24,Mon,Monthly Budget Review,Habit,Monthly,Count,1,Medium,No Action,1,Done,Done,No - Monthly,Still Nov - stays Done until Dec 1
2025-11-24,Mon,Weekly Running,Habit,Weekly,Value,20 km,Hard,WEEKLY RESET,0,To Do,To Do,No - Weekly,NEW WEEK! Last week logged as COMPLETE
2025-11-24,Mon,Meditation Challenge,Habit,Daily,Count,1,Easy,HIDDEN - Archived,-,Archived,-,No - Archived,"ARCHIVED: Not visible in daily tracking. NO 'missed' entries created!"
2025-11-24,Mon,Finish Report,Task,One-Time,-,-,Medium,Already Done,100%,Done,Done,No,Task stays done forever
--- GAP: User doesn't open app Nov 25-27 ---,,,,,,,,,,,,
2025-11-28,Fri,Daily Steps,Habit,Daily,Value,10000 steps,Medium,SYSTEM RESET x4,0,To Do,To Do,Yes - Daily,"Nov 24,25,26,27 ALL logged as MISSED"
2025-11-28,Fri,Morning Exercise,Habit,Daily,Count,1,Easy,SYSTEM RESET x4,0,To Do,To Do,Yes - Daily,"4 days logged as MISSED"
2025-11-28,Fri,Drink 8 Glasses Water,Habit,Daily,Count,8,Easy,SYSTEM RESET x4,0,To Do,To Do,Yes - Daily,"4 days logged as MISSED"
2025-11-28,Fri,Weekly Gym Session,Habit,Weekly,Count,3,Hard,No Action,0,To Do,To Do,No - Weekly,Same week - still at 0
2025-11-28,Fri,Call Family Weekly,Habit,Weekly,Count,1,Easy,Complete,1,Done,To Do,No - Weekly,Completed this week
2025-11-28,Fri,Monthly Budget Review,Habit,Monthly,Count,1,Medium,No Action,1,Done,Done,No - Monthly,Still Nov - stays Done
2025-11-28,Fri,Weekly Running,Habit,Weekly,Value,20 km,Hard,Log Value,10,In Progress,In Progress,No - Weekly,Half done
2025-11-28,Fri,Meditation Challenge,Habit,Daily,Count,1,Easy,STILL ARCHIVED,-,Archived,-,No - Archived,"ARCHIVED: Still hidden. Nov 23-28 has NO missed entries for this habit!"
2025-11-28,Fri,Finish Report,Task,One-Time,-,-,Medium,Already Done,100%,Done,Done,No,Still done
2025-12-01,Mon,Daily Steps,Habit,Daily,Value,10000 steps,Medium,SYSTEM RESET x3,0,To Do,To Do,Yes - Daily,"Nov 28,29,30 logged as MISSED"
2025-12-01,Mon,Morning Exercise,Habit,Daily,Count,1,Easy,SYSTEM RESET x3,0,To Do,To Do,Yes - Daily,"3 days logged as MISSED"
2025-12-01,Mon,Drink 8 Glasses Water,Habit,Daily,Count,8,Easy,SYSTEM RESET x3,0,To Do,To Do,Yes - Daily,"3 days logged as MISSED"
2025-12-01,Mon,Weekly Gym Session,Habit,Weekly,Count,3,Hard,WEEKLY RESET,0,To Do,To Do,No - Weekly,"NEW WEEK! Last week logged as MISSED (0/3)"
2025-12-01,Mon,Call Family Weekly,Habit,Weekly,Count,1,Easy,WEEKLY RESET,0,To Do,To Do,No - Weekly,"NEW WEEK! Last week logged as COMPLETE"
2025-12-01,Mon,Monthly Budget Review,Habit,Monthly,Count,1,Medium,MONTHLY RESET,0,To Do,To Do,Yes - Monthly,"NEW MONTH! Nov logged as COMPLETE; Dec starts fresh"
2025-12-01,Mon,Weekly Running,Habit,Weekly,Value,20 km,Hard,WEEKLY RESET,0,To Do,To Do,No - Weekly,"NEW WEEK! Last week logged as PARTIAL (50%)"
2025-12-01,Mon,Meditation Challenge,Habit,Daily,Count,1,Easy,USER UNARCHIVES,0,To Do,To Do,Yes - Daily,"USER UNARCHIVES: Wants to restart! Period resets to TODAY (no missed entries)"
2025-12-01,Mon,New Task: Plan Party,Task,One-Time,-,-,Easy,Created,0,To Do,To Do,No,New task added
2025-12-05,Fri,Daily Steps,Habit,Daily,Value,10000 steps,Medium,SYSTEM RESET x4 + Log,12000,Done,To Do,Yes - Daily,"Dec 1,2,3,4 logged as MISSED; Today exceeded target!"
2025-12-05,Fri,Morning Exercise,Habit,Daily,Count,1,Easy,SYSTEM RESET x4 + Complete,1,Done,To Do,Yes - Daily,"4 days missed; today complete"
2025-12-05,Fri,Drink 8 Glasses Water,Habit,Daily,Count,8,Easy,SYSTEM RESET x4 + Partial,3,In Progress,To Do,Yes - Daily,"4 days missed; today 3/8"
2025-12-05,Fri,Weekly Gym Session,Habit,Weekly,Count,3,Hard,Complete x2,2,In Progress,In Progress,No - Weekly,2/3 sessions done
2025-12-05,Fri,Call Family Weekly,Habit,Weekly,Count,1,Easy,No Action,0,To Do,To Do,No - Weekly,Not yet called
2025-12-05,Fri,Monthly Budget Review,Habit,Monthly,Count,1,Medium,No Action,0,To Do,To Do,No - Monthly,Still Dec - not yet done
2025-12-05,Fri,Weekly Running,Habit,Weekly,Value,20 km,Hard,Log Value,18,In Progress,In Progress,No - Weekly,18km - almost there
2025-12-05,Fri,Meditation Challenge,Habit,Daily,Count,1,Easy,SYSTEM RESET x4 + Complete,1,Done,To Do,Yes - Daily,"Dec 1,2,3,4 logged as MISSED (since unarchived); Today complete"
2025-12-05,Fri,Plan Party,Task,One-Time,-,-,Easy,Complete,100%,Done,Done,No,Task completed
2025-12-08,Mon,Daily Steps,Habit,Daily,Value,10000 steps,Medium,SYSTEM RESET x3,0,To Do,To Do,Yes - Daily,"Dec 5,6,7 - Dec 5 COMPLETE; Dec 6,7 MISSED"
2025-12-08,Mon,Morning Exercise,Habit,Daily,Count,1,Easy,SYSTEM RESET x3,0,To Do,To Do,Yes - Daily,"Dec 5 COMPLETE; Dec 6,7 MISSED"
2025-12-08,Mon,Drink 8 Glasses Water,Habit,Daily,Count,8,Easy,SYSTEM RESET x3,0,To Do,To Do,Yes - Daily,"Dec 5 PARTIAL; Dec 6,7 MISSED"
2025-12-08,Mon,Weekly Gym Session,Habit,Weekly,Count,3,Hard,WEEKLY RESET,0,To Do,To Do,No - Weekly,"NEW WEEK! Last week PARTIAL (2/3)"
2025-12-08,Mon,Call Family Weekly,Habit,Weekly,Count,1,Easy,WEEKLY RESET,0,To Do,To Do,No - Weekly,"NEW WEEK! Last week MISSED (0/1)"
2025-12-08,Mon,Monthly Budget Review,Habit,Monthly,Count,1,Medium,No Action,0,To Do,To Do,No - Monthly,Still Dec - same month
2025-12-08,Mon,Weekly Running,Habit,Weekly,Value,20 km,Hard,WEEKLY RESET,0,To Do,To Do,No - Weekly,"NEW WEEK! Last week PARTIAL (90%)"
2025-12-08,Mon,Meditation Challenge,Habit,Daily,Count,1,Easy,SYSTEM RESET x3,0,To Do,To Do,Yes - Daily,"Dec 5 COMPLETE; Dec 6,7 MISSED"
2025-12-08,Mon,Plan Party,Task,One-Time,-,-,Easy,Already Done,100%,Done,Done,No,Stays done
2025-12-15,Mon,Daily Steps,Habit,Daily,Value,10000 steps,Medium,SYSTEM RESET x7,0,To Do,-,-,"Dec 8-14 all MISSED (7 entries in history)"
2025-12-15,Mon,Morning Exercise,Habit,Daily,Count,1,Easy,SYSTEM RESET x7,0,To Do,-,-,"Dec 8-14 all MISSED (7 entries in history)"
2025-12-15,Mon,Drink 8 Glasses Water,Habit,Daily,Count,8,Easy,SYSTEM RESET x7,0,To Do,-,-,"Dec 8-14 all MISSED (7 entries in history)"
2025-12-15,Mon,Weekly Gym Session,Habit,Weekly,Count,3,Hard,WEEKLY RESET,0,To Do,-,-,"NEW WEEK! Dec 8-14 week was MISSED (0/3)"
2025-12-15,Mon,Call Family Weekly,Habit,Weekly,Count,1,Easy,WEEKLY RESET,0,To Do,-,-,"NEW WEEK! Dec 8-14 week was MISSED (0/1)"
2025-12-15,Mon,Monthly Budget Review,Habit,Monthly,Count,1,Medium,No Action,0,To Do,-,-,Still Dec - can still complete this month
2025-12-15,Mon,Weekly Running,Habit,Weekly,Value,20 km,Hard,WEEKLY RESET,0,To Do,-,-,"NEW WEEK! Dec 8-14 week was MISSED (0%)"
2025-12-15,Mon,Meditation Challenge,Habit,Daily,Count,1,Easy,SYSTEM RESET x7,0,To Do,-,-,"Dec 8-14 all MISSED (7 entries in history)"
2025-12-15,Mon,Plan Party,Task,One-Time,-,-,Easy,Already Done,100%,Done,-,-,Tasks stay done forever
